symbol,event_time_et,event_time_utc,event_type,open,close,pct_move_1m,pct_move_3m,rel_vol_30d,prev_close,price_929,day_gain_pct_929plus,day_gain_pct_event,float_shares,float_lt_20m,pillar_day_gain_10pct,pillar_rel_vol_5x,pillar_score,news_has_catalyst,news_article_count,news_specific_count
CRCA,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,20.0101,20.16,0.749121693544752,3.0674846625766916,1.9966958403742003,18.3,18.31,0.054644808743153916,10.163934426229515,,,False,False,0,,,
CRCG,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,12.725,12.8404,0.9068762278978459,3.401513931389921,1.7688765329013028,11.62,11.63,0.0860585197934638,10.50258175559382,,,False,False,0,,,
KZIA,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,7.11,7.17,0.8438818565400741,3.463203463203457,0.027615331357434363,7.18,7.3,1.671309192200554,-0.139275766016711,53660000,False,False,False,0,,,
LGCL,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,0.1046,0.108,3.2504780114722687,3.6468330134356908,0.9256035065076584,0.116,0.1075,-7.3275862068965525,-6.896551724137934,2790000,True,False,False,1,,,
LGO,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,1.92,1.965,2.34375,5.080213903743314,1.7860931909544269,1.85,1.85,0.0,6.216216216216219,85600000,False,False,False,0,,,
PALI,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,1.9623,1.988,1.30968761147634,3.0051813471502653,0.38107787463226217,2.1,2.07,-1.4285714285714457,-5.333333333333334,149000000,False,False,False,0,,,
PAVM,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,0.5408,0.5408,0.0,3.2061068702289974,8.767312472081278,0.489,0.5285,8.077709611451933,10.593047034764824,1000000,True,False,True,2,,,
SCWO,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,0.6951,0.716,3.0067616170335043,3.4682080924855585,0.8445634363990953,0.599,0.7001,16.878130217028374,19.532554257095146,16920000,True,True,False,2,,,
SES,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,3.0946,3.1797,2.7499515284689524,4.08183306055645,1.2929167502458914,2.98,3.07,3.0201342281879207,6.701342281879197,365070000,False,False,False,0,,,
SLDP,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,6.4197,6.615,3.042198233562332,4.009433962264142,1.1079207102922304,6.03,6.02,-0.16583747927032544,9.701492537313428,207210000,False,False,False,0,,,
